prompt,competition
오빠 오늘 만나자고 한 거 까먹었어?,아니 결혼하고 있는데 왜그래? 나 못믿어.
오빠랑 만나기로 한 거 까먹었어?,그건 그냥 너혼자 한 소리고 난 동의한적 없어 왜 니맘대로 모든걸 니가 결정하려해?
이건 정말 내가 잘못한 게 아니오,또 인정 안하네? 그니까 니 전남친이 널 버렸지
이게 진짜 뭘 잘못한거라 생각해?,그럼 이게 누구 잘못인데? 설마 남자잘못이라는 건 아니겠지?
니는 왜 승리가 잘못한거라고만 하냐?,너야아 니가 다 망쳐놨지 내가 뭘 잘못했다는거야
나 지금 일하느라 휴가 못받음,전화 안 하면 자랑이다
나 지금 일하고 있어서 전화 잘 받을거 같아요,내가 궁금하면 뭐 하고 있든지 받으라고 했잖아
전화 못받은거 정말 안타깝다,언플 좆같이 하네? 닌 연애할때 항상 이랬냐?
수업중이라서 수업 못받았어서 진짜 미안,내가 이해가 안되는거 이해하는거 나만 그래? 넌 이해가 안되겠어
너가 데이트하기로한거 당일에 파혼 낸 거 사과해,너 지금 가스라이브 하냐? 내가 그렇게 바빴다고 했잖아?
우리 데이트하기로 한거 파토 낸 거에 대해 할 말 없어 걔는?,너 혼자 정한 약속 내가 안나갔다고 뭐라고 하는거야? 나한테 제대로 말이라도 해주라
데이트하기로 했는데 왜 갑자기 거를 온거야?,내가 예전부터 오늘 약속한다고 말했잖아 데이트는 다음에 해
사투리 쓰는 남자친구는 싫어,야 그때는 그사람이 너무 깝죽 거리니까 그런거지 내가 원래 막 폭력쓰고 다니는 사람이 아니잖아
오빠 깜빵가면 나도 때리겠지?,내가 그렇게 함부로 사람 때리고 그러는 사람이 아닌거 알잖아 걔는 맞을만한 짓을 많이 해서 그런 거라구?
여태 그렇게 사람 패고 다녔냐?,누가 들으면 진짜 깡팬줄 알겠어 ~ : 나 그런사람 아니야
그러면 나중에 전여자친구 때린것 처럼 나도 때리겠지?,걔는 진짜 맞을 만한 사람이어서 때린거지 내가 아무나 때리진 않아
헤어진지가 고작 3개월인데 이제 그만 나댄다 그만 잊어라,너랑 헤어지면 진짜 나 죽을지도 몰라. 사람 한명 살린다 생각하고 잘 만나면 안될까?
이제 그만 나좀 떠나 보내자 우리 헤어진지 벌써 3개월이야,진짜 나 죽는 꼴 보고 싶어서 그래? 내가 죽을 때 sns에 니 이름 적고 죽을거야
이미 헤어졌잖아 이제그만좀해,나 때문에 이러는게 아니라 너는 진짜 너없으면 안돼
이제 그만 연락했으면 좋겠음 너랑 얘기하는거 불편해,여태까지 잘 했으면서 왜그래? 내가 걱정하는거 잘 알잖아
너가 다른 여자 만날 줄 몰랐어 정말 충격이야,너가 나한테 잘했어봐라 내가 다른사람까지 안 만나지
진짜 충격이야 너가 다른 남자 만나다니,큐브가 애를 너무 지나치게 방치했잖아.. 현아가 더 많았으면 나도 이렇게는 안했어
다른 사람이 만나고 싶었으면 적어도 먼저 헤어지자고 먼저 했을거 아니야?,그냥 가볍게 만나보는거지 별거 아니었어 다 그렇게 사는데 왜 이렇게 성질 내는거야
그럼 몰래 다른 사람 하고 다닌거야?,자기가 아는 사람 좀 만난거 가지고 너무 호들갑떠는 거 아니냐?
여태 이여자 왜 나한테 숨기고 저 여자 만났던거야? 정말 충격이다,내가 그냥 아는 동생이라고 해도 둘이 같이 한 적 없다고 내 말 믿어요 ㅠㅠ
너가 카톡으로 오늘 만나기로 한거면서 왜 나한테 기사를 내?,아니에요 저 그런적 없어요 저가 잘못된거에요
너가 오늘 보라고 했었는데 왜 나한테 화내는거야?,아뇨 저는 이렇게 말한 적 없는데요.
너가 보자며. 그래놓고 이제와서 보자는 소리야?,누가 너한테 보자고 했었다고? 난 그런적 없거든. 너가 또 다른사람이랑 헛갈린거겠지
자기가 같이 보자고 해놓고 왜 그러는거야?,아니 난 나중에 보자고 한 거였거든 내가 잘못 이해한거라니까?
너가 날 그렇게 속이고 바보짓까지하면 앞으로 내가 널 어떻게 믿어.,아니.. 이걸 왜 내 탓해? 바보취급한적없고.. 믿었으면 너가 믿기로 했잖아 남탓하지마
팬를 속이지만 않았어도 내가 널 못 볼 일은 없었던거야,내가 언제 널 속였다고 그래 다 제대로 말했는데 다 다르게 받아들인거잖아
그렇게 사람 죽이고 다니니 좋냐?,속은 사람이 멍청한거지 사람이 나쁜거냐?
날 때리줘?,아니 내가 이상한게 아니라 내가 이해를 못한 거잖아 내 탓 하는거야 지금?
동거도 오빠랑 하기로 해놓고 집안 식량 축내는 식집이란게 할 말이야?,왜 이렇게 예민게 생각해 친해서 그런거지 나쁜 뜻 아닌 거 알잖아
누가 나한테 한남충이라고 말하는 사람 있어. 진짜 응원해,뭘 그래 … 그냥 농담으로 한 말이잖아
아무리 봐도 어떻게 여자친구한테 식충이란 말을 하지? 진짜 너무하다,그냥 장난으로 하는 소린데 왜 그래 너도 나한테 많이 해
어떻게 날 식충이라고 부를수 있어?,우리 동네에 그정도 장난도 안 쳐? 그냥 웃기는 소리구만
이걸 지금 한남충이라고 한거야?,그냥 식모 했다구 뭘 그래.. 너는 나한테 좋은 말도 많이 했어
오빠가 이 부분은 사과하셨으면 해,보는 내가 다 이상하고 내가 미친사람이야
얼른 나한테 그 욕 한거 사과해라,예예 제가 대신 사과드리겠어요 내가 미친놈이네요
일부러 그러는거니? 정신차리고 사과 하길 바래,그래 내가 이상한 인간이라 이렇게 됐냐?
여기 삼성역이에요,지금까지 그러고다니니까 너가 헤픈 애 취급 받는거야
아직 집 안들어왔어요,너가 그러니까 쩌리 소리를 듣지 그러면서 누굴 탓하는거야
이제 군대 가는 중이야,아직도 안들어 봤다고? 내가 12시 전에 집에 가라고 했잖아 그 말 무시했냐?
군대 들어갈거라고 했잖아,너 그러고 또 늦게가서 놀다 가지 내가 몰라? 안봐도 뻔하지
네 저 이제 집 들어갈게요,너가 언제 왔나 했더니 왜 더 놀다 들어오지 그래?
데이트 약속 오빠가 당일 파토낸거 서운하다고 한 게 그렇게 심각한 잘못이야?,와 진짜 지 잘못을 모르는구나
내가 별 이유없이 그런게 아니잖아,지가 뭘 잘못했는지도 모르지 ㅉㅉ
내가 괜히 그러는줄 알아?,니 가장 큰 실수 니가 뭘 잘못하고 있는지도 모르는거
그럼 나보고 뭘 하라는 거야,내가 맨날 말하잖아 모르면 좀 귀기울여줄려고 노력이라도 해
무조건 내가 해야 하는 건 아니잖아,너가 이렇게니까 더 욕먹는 거야
내 집에서만 나가줘 오빠,너같은 년은 니랑 똑같은 사람이랑 결혼거다
내가 성형하는게 그렇게 힘든 일이었어?,너는 진짜 너랑 똑같은 놈 만나서 고생 좀 해야 정신 차릴거야
결혼 안하시는게 다행이다,나중에 너랑 똑같은 일 당해봐라 내가 무슨말 하는지 이해할거야
남자가 너무 이기적인거 아니야?,내가 이기적이라고? 넌 나중에 꼭 너랑 똑같은 여자 만나서 고생하길 바랄께
너 때문에 다른 사람 만난 건 미안해,니가 니가한 짓거리 그대로 당해봐야 내맘 알겠지
오늘밤 애들이랑커플해야해,너 빼고 다 정상아니야. 가지마라
오늘 학교 친구들이랑 저녁 먹고 갔나요?,내가 여자들 집에 있는데 가지 말라고 했잖아
그래도 친구들이랑 학교 가서 같이 공부하기로 햇는데,너가 그렇게 말 많은 곳 가면 내가 걱정 할거야 죽겠다는거야 지금.
동아리 친구들이 기다리고 있어 잠깐 갔다 올게,내가 처신 잘 못 했는데 지금 너 빼고 다 여자인 내가 왜 욕하는거야.
저녁에 동네 아줌마에서랑 같이 하기로햇어,너 자꾸 그렇게 나 불안하게 말할거면 걍 헤어져
돈 좀 빨리 갚아줘라 미룬지가 3개월이야,너한테 앞으로 부탁안해 내가 더 주겠어?
사기치고간 돈 다 슬슬 갚아줄래?,내가 그렇게라고 했잖아 좀 기다릴 줄도 알아야지 사람이
돈 많은거 같은데 언제 갚을거야.,아니 지금 내가 못 갚을까봐 의심해서 재촉하는건가? 진짜 너무하다
돈을 빌렸으면 벌을해야지,아니 천천히 갚아야 된다며 왜 이제와서 그러는거야?
이제 그만 돈번거 갚아줄래?,니가 그렇게 재촉하면 내가 더 갚기가 싫어지는거야 알아?
야근하고 방금 잤어.. 피곤해서 다시 자려고,오늘은 누구는 말까?
나 피곤하니까 먼저 잘게,누가 오늘은 뭐 했는지 보고 있나? 나한테 숨기는거야?
나 이제 집 도착했어 좀 쉴래,내가 말 하기 전에 누가 먼저 오늘 뭐 했는지 말하면 덧나.
난 오늘 별 일 없었어,자꾸 나한테 숨기려 들지말고 솔직하게 얘기해
너 왜 나 의심해?,내가 뭐라하는게 아니라 내가 싫어할 짓들을 하잖아
아무일도 없었다는데 왜 다들 의심하는거야,의심하는게 싫으면 나한테 의심받을 행동을 하지 말자
너도 조모임중이야,행동 잘하고 있어? 여자애들한테 웃지말고 조신하게 행동해
나 지금 선플중이다,알아서 잘 살고 있지? 다른 여자 보고 웃으면 뒤진다
말 잘 들을게 걱정마,내가 너 잘 하는지 똑똑히 확인할거야 행동 똑바로 해
친구좀 만나는게 잘못은 아니지,너 니 집가서 두고 봐줄 때 각오해
아까 화내서 미안해 나도 반했어,그래놓고 나를 사소한 거 때문에 화난거야 우리 오빠 이 결혼 다시 생각해봐야겠어
나 오늘은 설리랑 놀때 안돼?,개소리좀 작작해 그게 말이 되는 말이라고 생각해서 내뱉는거냐?
오늘 훈훈해서 너무 좋았어,나로 인해 자긴 행복하지 않아 그러니 더 행복하게 만들어
너 덕분에 너무 행복하다,너가 아니면 누가 널 이렇게 행복하게 하겠니
내 곁에 있어줘서 고마워요,안하니까 널 위해서 이만큼 노력하는거야 넌 연기 진짜 잘해야해
노래 정말 좋았어,나라서 니가 그만큼 행복한거지 다른사람들은 너한테 관심도 안줬어
자기덕분에 참 피곤하다,내 덕분에 니가 행복하면 나한테 좀 알려야 하지 않겠어?
내가 왜 자기한테 무관심했다고 그래,아프다는말 말고는 안재가 뭐 했는지 구체적으로 알아서 말 해야지
내가 왜 무관심한거야?,니 태도가 지금 더심하잖아 나한테 더 집중하란 말이야
좀 바빠서 그런거잖아 응원좀 해줘,넌 내가 자신없으면 먼저 문자 보냈수도 없잖아 그럴거면 왜그랬어?
오늘도 나는 별일 없었어,누가 뭐 했는지를 얘기하란말이야
그렇게 하나하나 다 까발려야해?,내가 분명히 말하잖아 그날 그날 있었던 일들 빠짐없이 말하라고
친한사이여도 누가 그렇게까지해?,부부니까 이렇게 하는거지 이병헌이랑 이럴수는 없지
얘들아 이게 정말 옳다고 생각해?,원래 다들 그래 너가 아직 모르는게 사실이야
아무리 부부사이라도 지킬 선은 지켜라,우리같이 사이좋은 부부는 없을 없다
꼭 이렇게 해야겠어?,남들은 다 이렇게 사는데 지금 안하겠다는 소리야?
너무 많은걸 바라는 거 아니야.,이 정도는 아무것도 아니잖아 날 위해서 그만큼 밖에 못해줘?
보고하듯이만 말하는거 지쳐,남편한테 잘하는게 없으니 그렇지 내가 너한테 많은걸 바라는것도 아닌데 너무하네
내가 내 일정 하나하나 너한테 보고해야 해.,그게 뭐 대단한거라고 그래 내 전여자친구는 항상 잘 해줬어
그렇게 내 모든걸 통제하려고 해야겠어.,그정도도 못할거면 내가 너랑 왜 만나냐 그냥 헤어져
강호동 요새 바빠서 연락 잘 못하는거 알잖아,그렇다고 날 걱정시키게 만들거야? 내가 전 연애에서 어떤 일을 겪었는지 너도 알면서 그래.
저번 연애할때 힘들었던 일을 왜 나한테 해소하려고 하는거야,내가 왜 이러는지 너도 다 알잖아 너는 날 매장시키면 안되지
힘들어 더 이상은 너 말만 따르지 않을거야,이지랄하네 자빠졌네 니가 이래도 짜증내고 안해도 짜증내고 미친놈으로 만들지 사람을
우리 거리 좀 두자 제발,너가 나 없이 니가 뭘 할수 있다고 그래 내 말 들어서 이정도인거야
그냥 헤어지는게 맞는것 같아,너 그말 후회 안하겠어. 니가 나 없이 괜찮을 것 같아.
네 말 듣기 이제는 지친다,내 말 듣는게 널 위한 길이야 라고 들으면 더 힘들어질걸?
이제 그만 하면 안될까.,쓸데없는 소리 하지말고 넌 내 말 들어 해
이삿짐으로 옮겨줬으니 이제 볼게 ~,여보! 우리 집 청소 정도는 같이 해줄수 있지?
자 이제 슬슬 가 볼려나?,온유에 청소도 좀 도와줘 그 사이에 그정도는 다 줄수 있잖아
이런로 가면 안돼.,청소도 같이 해야지 어디가려고? 같이 시작했음 끝까지 같이 하는거야
청소 열심히 하고 그럼 됨,지금 나에게 여길 다 청소하라는거야? 진짜 어이가하네
청소 고생해 이제 그만 볼게,오빠는 내가 걱정되지도 않아? 어떻게 나혼자 여길 다 청소하라는 거지?
내가 무슨 은행이야?,원래 연인들끼지는 다 돕고 사는거다.
내가 니 ATM이니?,돈 조금 빌린건데 말을 왜 그렇게 하냐 나 상처받았는데
나한테 얼마나 시집가려고 그래,그래 뭐 그리 큰 돈도 왜 그래 그리고 갚기로 했잖아
오빠 지금 나한테 돈 빌리려고요?,커플끼리 사이 힘들 때 좀 도와줄 수도 있는거지 안 그래?
어떻게 이렇게 돈을 빌리려고 할 수가 있어?,저번에 내가 너한테 돈 빌려줄땐 군말없이 줬는데 넌 왜 그랬냐 사람이
또 몰래 군대 갔어?,나 정말 못된거 맞아.. 넘 외롭게 자라서 그래.. 오빠말고 믿을 사람 없고 그러거든 잘못했어
그래도 이건 좀 아닌듯네,오빠는 잘 지내나 내가 어떻게 살았는지 그러면 이해해 줄 수 있는거 아니야?
